class,name,thunk_rva,verdict,new_vs_v1,note
ULokiAnalyticsLibrary,AuthGetAnalyticsGameTime,0x52A95B0,REAL,no,impl 0x52A95B0: 48895c24084889742418574883ec2033
ULokiAnalyticsLibrary,GetAbilityIdFromAbility,0x52A9660,REAL,no,impl 0x52A9660: 48895c24084889742420574883ec3033
ULokiAnalyticsLibrary,GetAnalyticsTimeNow,0x52A97D0,REAL,no,impl 0x52A97D0: 48895c2408574883ec30488b4a2033c0
ULokiAnalyticsLibrary,GetGameplayEffectIdFromGameplayEffect,0x52AA330,REAL,no,impl 0x52AA330: 48895c24084889742420574883ec3033
ULokiAnalyticsLibrary,GetHeroIdFromPlayer,0x52AA680,REAL,no,impl 0x52AA680: 48895c24084889742418574883ec3033
ULokiAnalyticsLibrary,GetItemIdFromItem,0x52AA750,REAL,no,impl 0x52AA750: 48895c24084889742418574883ec3033
ULokiAnalyticsLibrary,GetMatchId,0x52AA900,REAL,no,impl 0x52AA900: 48895c24084889742418574883ec3033
ULokiAnalyticsLibrary,GetPlatform,0x52AAB00,REAL,no,impl 0x52AAB00: 48895c24084889742418574883ec3033
ULokiAnalyticsLibrary,GetPlayerGoldFromCharacter,0x52AACB0,REAL,no,impl 0x52AACB0: 48895c24084889742418574883ec2033
ULokiAnalyticsLibrary,GetPlayerIdFromCharacter,0x52AAD40,REAL,no,impl 0x52AAD40: 48895c24084889742418574883ec3033
ULokiAnalyticsLibrary,GetPlayerIdFromPlayer,0x52AAE10,REAL,no,impl 0x52AAE10: 48895c24084889742418574883ec3033
ULokiAnalyticsLibrary,GetQueueId,0x52AAFC0,REAL,no,impl 0x52AAFC0: 48895c24084889742418574883ec3033
ULokiAnalyticsLibrary,GetServerName,0x52AB210,REAL,no,impl 0x52AB210: 48895c24084889742418574883ec3033
ULokiAnalyticsLibrary,GetTeamIdFromPlayer,0x52AB540,REAL,no,impl 0x52AB540: 48895c24084889742418574883ec3033
ULokiAnimationUtilities,GetCurrentActiveMontages,0x52A9AF0,REAL,no,impl 0x52A9AF0: 48895c2408574883ec3033ff488bda48
ULokiAnimationUtilities,GetFloatValueFromThreadSafeCurveContainer,0x52AA020,REAL,no,impl 0x52AA020: 48895c2408488974242055574156488d
ULokiAnimationUtilities,MakeThreadSafeFloatCurve,0x52AB610,REAL,no,impl 0x52AB610: 48895c24084889742420574881ecc000
ULokiApplyEffectOnDeathComponent,ApplyEffects,0x2C2CE30,STRIPPED,no,wrapper-hides-stub 0x2C2CE30 -> call 0xF7EC20 -> fold: void_ret (c2 00 00)
ULokiApplyEffectOnDeathComponent,ApplyEffectToCharacters,0x52A9210,REAL,no,impl 0x52A9210: 48895c24085556574883ec4033ed488b
ULokiApplyEffectOnDeathComponent,ApplySingleEffect,0x52A9350,STRIPPED,no,wrapper-hides-stub 0x52A9350 -> call 0xF7EC20 -> fold: void_ret (c2 00 00)
ULokiApplyEffectOnDeathComponent,DeathEvent,0x3BCD5B0,REAL,no,impl 0x3BCD5B0: 48895c24104889742418574883ec2033
ULokiApplyEffectOnDeathComponent,GetPlayerCharactersByTeam,0x52AABD0,REAL,no,impl 0x52AABD0: 48895c240848896c2418488974242057
ULokiArmoryContentWidget,Rarity,0x52AB810,REAL,no,impl 0x52AB810: 488b42204533c94885c0410f95c14c03
