[0] catalog_purchasable_fix worker started
[hb] catMgr=0x1CC7CC3E080 iters=5305 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5322 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5339 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5356 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5373 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5390 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5407 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5424 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5441 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5458 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5475 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5492 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5509 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5526 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5543 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5560 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5577 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5594 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5611 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5628 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5645 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5662 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5679 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5696 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5713 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5730 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5747 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5764 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5781 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5798 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5815 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5832 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5849 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5866 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5883 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5900 lastPoked=1355
[done] iters=5903 lastPoked=1355
